species	distance	area_cm_2	csf
gem	3.8	196.9010692	7.166936431
gem	59.7	1823.778007	7.082148475
gem	32.8	605.4849486	7.061835312
gem	26.1	1050.34597	6.96839859
gem	17	365.8209342	6.879571122
gem	74.4	130.7843745	6.878127069
gem	51	189.7170725	6.870305704
gem	58.8	1430.13616	6.843072855
gem	28.3	214.4938058	6.798491132
gem	8.8	254.1162491	6.771337457
gem	45.1	672.6571846	6.768466824
gem	24.4	868.1600004	6.766014794
gem	57.3	188.3314689	6.747899331
gem	32.1	1097.822993	6.740431478
gem	79.1	112.2127678	6.735328402
gem	38.2	699.2957847	6.733412014
gem	52.7	40.31220227	6.729415961
gem	37.9	109.1996122	6.713070676
gem	48.3	206.5476525	6.643696664
gem	20	24.44378242	6.410967132
gem	38	58.27096759	6.283546602
gem	34.4	267.6444572	6.251109228
gem	54.3	579.6529395	6.206679312
gem	68.9	561.8756324	6.194969574
gem	43.9	499.1111633	6.149773012
gem	21	139.6293948	6.041542996
gem	59.6	36.75975065	5.998936051
gem	2.8	120.1081828	5.943320829
gem	33.1	121.0719829	5.862538698
gem	37.7	742.434343	5.814870788
gem	57.3	296.2118145	5.80670983
gem	24.3	127.8241679	5.801547781
gem	75.2	192.0350567	5.783366116
gem	72.6	79.88186034	5.774798339
gem	67.1	400.6308789	5.67454812
gem	21.9	352.3643798	5.662435501
gem	53.9	636.4127291	5.648222708
gem	49	329.1760341	5.603560997
gem	16.2	290.7739307	5.594113204
gem	25.1	426.5708815	5.571521392
gem	10.3	196.0966893	5.562747563
gem	2.3	294.7842608	5.551244112
gem	36.7	300.4532329	5.5437446
gem	53.5	381.4968426	5.53036308
gem	7.3	1134.160275	5.512980878
gem	67	798.057548	5.50296824
gem	21.5	305.4305254	5.499323975
gem	77.8	192.653289	5.455509414
gem	7	199.9091831	5.434980841
gem	32.7	164.0376671	5.431189309
gem	22.9	686.3400903	5.421265938
gem	28.1	722.0088047	5.421222383
gem	8.7	39.29381009	5.383506088
gem	66.7	684.7044993	5.338874204
gem	23.7	1136.275434	5.336218295
gem	45.4	267.6064168	5.275298696
gem	17.5	1853.830679	5.268755896
gem	55	437.6549109	5.241208531
gem	36.6	732.2793011	5.230780544
gem	4.5	152.0087274	5.201029702
gem	70.6	217.2650157	5.176157905
gem	9.6	236.1807677	5.173830763
gem	24.7	738.9347857	5.16885076
gem	52.2	143.3910655	5.133819923
gem	33.5	34.18671478	5.089021625
gem	76.8	109.3073125	4.986815162
