location	site	replicate	depth_mm	drops	dens_gm3	comp_MN	tens_MN
south	back	6	120	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	130	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	140	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	150	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	160	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	170	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	180	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	7	10	10	1.89133089490399	3.83210371838268	0.349431989880484
south	back	7	20	18	2.18522422735505	6.89778669308882	0.628977581784872
south	back	7	30	5.75	1.61463827581160	2.20345963807004	0.200923394181278
