year,duration,dist,u
1977,18,20,2.194948917
1977,78,20,1.09764248
1978,24,20,0.680071511
1978,24,20,0.240029017
1978,18,20,0.798677897
1978,78,20,0.16256586
1978,18,20,0.581386944
1978,24,20,0.084343331
1978,72,20,0.655781678
1978,30,20,1.008937449
1978,18,20,1.451868617
1978,6,20,0.591298454
1978,18,20,1.466254789
1978,24,20,0.89251504
1978,6,20,0.507337815
1978,18,20,0.877650048
1978,24,20,1.235796912
1978,6,20,0.638830661
1978,18,20,1.102154957
1978,6,20,0.223194836
1978,18,20,1.269055981
1978,6,20,0.623661895
1978,18,20,0
1978,48,20,0.986054968
1978,96,20,0.611587374
1978,6,20,0.044391372
1978,42,20,0.889045383
1978,24,20,0.452070414
1978,24,20,0.869462317
1978,6,20,1.246597995
1978,18,20,0.634822626
1978,6,20,1.110280407
1978,18,20,0.561097208
1978,6,20,0
1978,18,20,0.63097063
1978,24,20,0
1978,30,20,0.31324048
1978,42,20,0.71666118
1978,6,20,0.166335885
1978,18,20,0.748092334
1978,54,20,0.243046748
1978,18,20,0.721067769
1978,6,20,0.184249829
1978,24,20,0.682319447
1978,24,20,1.027264387
1978,42,20,1.365826633
1978,6,20,0.790044307
1978,24,20,1.229136612
1978,18,20,0.745251128
1978,54,20,1.423074763
1978,96,20,0.991122897
1978,18,20,0.176896658
1978,30,20,1.278151221
1978,18,20,0.341169754
1978,30,20,1.131178047
1978,42,20,0.666770186
1978,30,20,0.1417354
1978,42,20,1.412407317
1978,6,20,1.730020913
1978,18,20,1.191996956
1978,24,20,1.593780731
1978,102,20,1.298063816
1978,18,20,0.946181674
1978,6,20,1.049409632
1978,18,20,0.861094286
1978,30,20,1.170929452
1978,42,20,0.771193564
1978,6,20,0.312855893
1978,24,20,0.67172887
1978,18,20,0
1978,6,20,0.534212401
1978,18,20,0.982518379
1978,6,20,0.156642379
1978,42,20,0.910318991
1978,6,20,0
1978,18,20,0.591826248
1978,6,20,0
1978,24,20,0.634383781
1978,24,20,0.1631409
1978,18,20,0.618866023
1978,6,20,0.07406618
1978,18,20,0.926638892
1978,6,20,0.06395213
1978,18,20,0.999305478
1978,24,20,0.310021682
1978,54,20,0.826960024
1978,18,20,0.281989111
1978,24,20,0.968616948
1978,24,20,0.497101656
1978,6,20,1.46064944
1978,24,20,0.856601549
1978,18,20,1.274211658
1978,30,20,1.105292102
1978,18,20,1.660245349
1978,30,20,1.258815518
1978,18,20,0.828515058
1978,24,20,1.667969635
1978,6,20,0
1978,18,20,0.555597152
1978,6,20,0
1978,72,20,0.577436037
1978,18,20,0.074440576
1978,24,20,0.46012778
1978,30,20,0.923584588
1978,18,20,1.166404274
1978,6,20,0.577669378
1978,48,20,0.931870722
1978,18,20,0.433535466
1978,72,20,0.890608582
1978,6,20,0.427876429
1978,42,20,1.283256622
1978,30,20,0.901934164
1978,18,20,1.346737331
1978,6,20,0.94885907
1978,18,20,1.597324502
1978,78,20,1.317608139
1978,90,20,1.675975124
1978,24,20,1.362977654
1978,30,20,1.104293544
1978,42,20,1.438909336
1978,30,20,0.969380616
1978,24,20,0.168609763
1978,18,20,1.0412936
1978,96,20,1.767283563
1978,54,20,0.819604882
1978,18,20,0.287819312
1978,6,20,0
1978,18,20,0.287634822
1978,24,20,1.200529414
1978,6,20,0.904088567
1978,48,20,0.089508827
1978,18,20,0.970676093
1978,6,20,0
1978,18,20,0.400754426
1978,48,20,1.521772269
1978,24,20,1.022449791
1978,24,20,1.336415013
1978,54,20,1.078614587
1978,24,20,0.317209933
1978,18,20,0.614197943
1978,6,20,0
1978,18,20,0.628678866
1978,6,20,1.518678852
1978,18,20,0.649037335
1978,6,20,0.141672191
1978,24,20,0.585226951
1978,66,20,0.098317561
1978,6,20,0.545962272
1978,18,20,0.091689293
1978,72,20,0.854019234
1978,6,20,0
1978,18,20,0.316281752
1978,24,20,0.703468249
1978,6,20,1.677951207
1978,24,20,1.133565213
1978,18,20,0.572534868
1978,30,20,1.141967209
1978,48,20,0.661372641
1978,18,20,0.138708838
1978,72,20,0.997898293
1978,6,20,0.320096478
1978,24,20,0.876028519
1978,90,20,1.255591656
1978,120,20,0.674773625
1978,6,20,0.156358747
1978,42,20,1.053433486
1978,6,20,2.115147952
1978,18,20,1.425049853
1978,72,20,0.979346428
1978,30,20,0.182574802
1978,18,20,1.308790636
1978,6,20,0
1978,18,20,1.068380461
1978,24,20,1.481767579
1978,48,20,0.885620926
1978,30,20,1.633585549
1978,18,20,0.83473002
1978,48,20,1.460692478
1978,96,20,0.538534488
1978,6,20,0.980095211
1978,66,20,0.519226273
1978,24,20,1.074265864
1978,24,20,0.561890861
1978,54,20,1.697407663
1978,18,20,1.206223588
1978,6,20,1.218389953
1978,18,20,1.407703443
1978,78,20,1.304871563
1978,18,20,1.77674484
1978,24,20,1.529565378
1978,24,20,1.161907304
