kappa	t	t_1
0.05	-1.15	-1.12247955421404
0.05	-1.14	-1.11252555233391
0.05	-1.13	-1.10257150488756
0.05	-1.12	-1.09261740965498
0.05	-1.11	-1.08266326455738
0.05	-1.1	-1.07270906765238
0.05	-1.09	-1.06275481712906
0.05	-1.08	-1.05280051130287
0.05	-1.07	-1.04284614861042
0.05	-1.06	-1.03289172760417
0.05	-1.05	-1.02293724694714
0.05	-1.04	-1.01298270540751
0.05	-1.03	-1.00302810185334
0.05	-1.02	-0.993073435247308
0.05	-1.01	-0.983118704641428
0.05	-1	-0.973163909171997
0.05	-0.99	-0.963209048054558
0.05	-0.98	-0.953254120579016
0.05	-0.97	-0.943299126104902
0.05	-0.96	-0.933344064056778
0.05	-0.95	-0.923388933919817
0.05	-0.94	-0.913433735235548
0.05	-0.93	-0.903478467597788
0.05	-0.92	-0.893523130648748
0.05	-0.91	-0.883567724075338
0.05	-0.9	-0.873612247605651
0.05	-0.89	-0.863656701005645
0.05	-0.88	-0.853701084076005
0.05	-0.87	-0.843745396649196
0.05	-0.86	-0.833789638586704
0.05	-0.85	-0.823833809776442
0.05	-0.84	-0.813877910130344
0.05	-0.83	-0.803921939582122
0.05	-0.82	-0.793965898085184
0.05	-0.81	-0.784009785610712
0.05	-0.8	-0.774053602145884
0.05	-0.79	-0.764097347692244
0.05	-0.78	-0.754141022264203
0.05	-0.77	-0.744184625887668
0.05	-0.76	-0.734228158598788
0.05	-0.75	-0.724271620442823
0.05	-0.74	-0.714315011473101
0.05	-0.73	-0.704358331750089
0.05	-0.72	-0.694401581340547
0.05	-0.71	-0.684444760316765
0.05	-0.7	-0.674487868755882
0.05	-0.69	-0.664530906739273
0.05	-0.68	-0.654573874352005
0.05	-0.67	-0.644616771682349
0.05	-0.66	-0.634659598821345
0.05	-0.65	-0.624702355862423
0.05	-0.64	-0.614745042901066
0.05	-0.63	-0.604787660034505
0.05	-0.62	-0.594830207361466
0.05	-0.61	-0.584872684981933
0.05	-0.6	-0.574915092996952
0.05	-0.59	-0.564957431508456
0.05	-0.58	-0.554999700619112
0.05	-0.57	-0.545041900432191
0.05	-0.56	-0.535084031051456
0.05	-0.55	-0.525126092581058
0.05	-0.54	-0.515168085125461
0.05	-0.53	-0.505210008789365
0.05	-0.52	-0.495251863677645
0.05	-0.51	-0.4852936498953
0.05	-0.5	-0.475335367547409
0.05	-0.49	-0.465377016739092
0.05	-0.48	-0.455418597575483
0.05	-0.47	-0.445460110161696
0.05	-0.46	-0.43550155460281
0.05	-0.45	-0.425542931003846
0.05	-0.44	-0.415584239469754
0.05	-0.43	-0.405625480105401
0.05	-0.42	-0.395666653015556
0.05	-0.41	-0.385707758304887
0.05	-0.4	-0.375748796077949
0.05	-0.39	-0.365789766439184
0.05	-0.38	-0.355830669492907
0.05	-0.37	-0.345871505343315
0.05	-0.36	-0.335912274094471
0.05	-0.35	-0.32595297585031
0.05	-0.34	-0.315993610714634
0.05	-0.33	-0.306034178791113
0.05	-0.32	-0.296074680183276
0.05	-0.31	-0.286115114994523
0.05	-0.3	-0.276155483328112
0.05	-0.29	-0.266195785287165
0.05	-0.28	-0.256236020974666
0.05	-0.27	-0.246276190493462
0.05	-0.26	-0.23631629394626
0.05	-0.25	-0.226356331435629
0.05	-0.24	-0.216396303063998
0.05	-0.23	-0.206436208933661
0.05	-0.22	-0.19647604914677
0.05	-0.21	-0.186515823805339
0.05	-0.2	-0.176555533011245
0.05	-0.19	-0.166595176866226
0.05	-0.18	-0.15663475547188
0.05	-0.17	-0.146674268929667
0.05	-0.16	-0.136713717340912
0.05	-0.15	-0.126753100806798
0.05	-0.14	-0.116792419428372
0.05	-0.13	-0.106831673306543
0.05	-0.12	-0.0968708625420814
0.05	-0.11	-0.0869099872356209
0.05	-0.1	-0.0769490474876576
0.05	-0.0899999999999999	-0.0669880433985498
0.05	-0.0800000000000001	-0.0570269750685191
0.05	-0.0699999999999998	-0.0470658425976487
0.05	-0.0600000000000001	-0.037104646085887
0.05	-0.0499999999999998	-0.027143385633043
0.05	-0.04	-0.0171820613387913
0.05	-0.0299999999999998	-0.00722067330266766
0.05	-0.02	0.00274077837592654
0.05	-0.00999999999999979	0.0127022935977284
0.05	0	0.0226638722636091
0.05	0.0100000000000002	0.0326255142745783
0.05	0.02	0.0425872195317792
0.05	0.0300000000000002	0.0525489879364932
0.05	0.04	0.0625108193901355
0.05	0.0500000000000003	0.0724727137942587
0.05	0.0600000000000001	0.0824346710505489
0.05	0.0700000000000003	0.09239669106083
0.05	0.0800000000000001	0.102358773727058
0.05	0.0899999999999999	0.112320918951328
0.05	0.1	0.122283126635867
0.05	0.11	0.132245396683037
0.05	0.12	0.142207728995337
0.05	0.13	0.152170123475398
0.05	0.14	0.162132580025988
0.05	0.15	0.172095098550007
0.05	0.16	0.18205767895049
0.05	0.17	0.192020321130607
0.05	0.18	0.201983024993662
0.05	0.19	0.21194579044309
0.05	0.2	0.221908617382465
0.05	0.21	0.231871505715489
0.05	0.22	0.241834455346001
0.05	0.23	0.251797466177972
0.05	0.24	0.261760538115508
0.05	0.25	0.271723671062845
0.05	0.26	0.281686864924354
0.05	0.27	0.291650119604538
0.05	0.28	0.301613435008035
0.05	0.29	0.311576811039612
0.05	0.3	0.321540247604171
0.05	0.31	0.331503744606744
0.05	0.32	0.341467301952499
0.05	0.33	0.351430919546733
0.05	0.34	0.361394597294874
0.05	0.35	0.371358335102486
0.05	0.36	0.381322132875261
0.05	0.37	0.391285990519024
0.05	0.38	0.40124990793973
0.05	0.39	0.411213885043468
0.05	0.4	0.421177921736455
0.05	0.41	0.431142017925043
0.05	0.42	0.44110617351571
0.05	0.43	0.45107038841507
0.05	0.44	0.461034662529862
0.05	0.45	0.470998995766961
0.05	0.46	0.480963388033368
0.05	0.47	0.490927839236217
0.05	0.48	0.500892349282771
0.05	0.49	0.510856918080424
0.05	0.5	0.520821545536699
0.05	0.51	0.530786231559248
0.05	0.52	0.540750976055854
0.05	0.53	0.550715778934429
0.05	0.54	0.560680640103014
0.05	0.55	0.57064555946978
0.05	0.56	0.580610536943027
0.05	0.57	0.590575572431183
0.05	0.58	0.600540665842805
0.05	0.59	0.610505817086579
0.05	0.6	0.620471026071322
0.05	0.61	0.630436292705975
0.05	0.62	0.64040161689961
0.05	0.63	0.650366998561427
0.05	0.64	0.660332437600753
0.05	0.65	0.670297933927044
0.05	0.66	0.680263487449884
0.05	0.67	0.690229098078984
0.05	0.68	0.700194765724182
0.05	0.69	0.710160490295444
0.05	0.7	0.720126271702864
0.05	0.71	0.730092109856661
0.05	0.72	0.740058004667185
0.05	0.73	0.750023956044908
0.05	0.74	0.759989963900433
0.05	0.75	0.769956028144485
0.05	0.76	0.779922148687922
0.05	0.77	0.789888325441721
0.05	0.78	0.79985455831699
0.05	0.79	0.809820847224963
